,Agent 1 Rewards,Agent 1 Rate,Agent 1 Test,Agent 2 Rewards,Agent 2 Rate,Agent 2 Test,Agent 3 Rewards,Agent 3 Rate,Agent 3 Test,Agent 4 Rewards,Agent 4 Rate,Agent 4 Test,Agent 5 Rewards,Agent 5 Rate,Agent 5 Test,Agent 6 Rewards,Agent 6 Rate,Agent 6 Test,Agent 7 Rewards,Agent 7 Rate,Agent 7 Test,Agent 8 Rewards,Agent 8 Rate,Agent 8 Test,Agent 9 Rewards,Agent 9 Rate,Agent 9 Test,Agent 10 Rewards,Agent 10 Rate,Agent 10 Test,Agent 11 Rewards,Agent 11 Rate,Agent 11 Test,Agent 12 Rewards,Agent 12 Rate,Agent 12 Test
31,-16.443079999999995,0.16,-16.06171400000025,-15.762119999999996,0.16,-16.80580400000026,-16.241819999999997,0.14,-15.505880000000273,-17.003039999999995,0.14,-15.609758000000244,-17.5215,0.1,-15.94965000000025,-16.880779999999998,0.14,-15.019108000003904,-18.440859999999994,0.08,-15.421628000000227,-18.042759999999994,0.1,-15.657684000000263,-16.761519999999994,0.14,-16.141662000000252,-18.361219999999996,0.08,-16.085792000000275,-14.843440000000001,0.18,-16.549762000000253,-18.36158,0.08,-15.565602000000226
32,-16.16318,0.14,-16.06171400000025,-16.2819,0.16,-16.80580400000026,-17.563039999999997,0.1,-15.505880000000273,-15.242240000000002,0.18,-15.609758000000244,-18.200899999999997,0.08,-15.94965000000025,-19.681099999999994,0.02,-15.019108000003904,-16.120999999999995,0.14,-15.421628000000227,-17.521939999999994,0.12,-15.657684000000263,-15.963259999999998,0.16,-16.141662000000252,-17.721359999999994,0.1,-16.085792000000275,-17.3222,0.12,-16.549762000000253,-19.920919999999995,0.02,-15.565602000000226
33,-15.806139999999997,0.18,-16.06171400000025,-17.522139999999993,0.1,-16.80580400000026,-16.0042,0.16,-15.505880000000273,-18.284599999999998,0.08,-15.609758000000244,-19.00104,0.06,-15.94965000000025,-17.681259999999995,0.1,-15.019108000003904,-17.241059999999994,0.12,-15.421628000000227,-16.001419999999996,0.14,-15.657684000000263,-15.44398,0.18,-16.141662000000252,-18.321299999999997,0.08,-16.085792000000275,-16.76174,0.14,-16.549762000000253,-19.241099999999992,0.04,-15.565602000000226
34,-13.68456,0.26,-16.06171400000025,-17.041719999999994,0.12,-16.80580400000026,-17.642599999999995,0.1,-15.505880000000273,-16.124279999999995,0.16,-15.609758000000244,-19.84088,0.02,-15.94965000000025,-17.441059999999993,0.1,-15.019108000003904,-18.961179999999995,0.06,-15.421628000000227,-18.72136,0.06,-15.657684000000263,-16.64558,0.14,-16.141662000000252,-14.602119999999998,0.22,-16.085792000000275,-13.882739999999998,0.22,-16.549762000000253,-17.40146,0.1,-15.565602000000226
35,-14.728319999999995,0.2,-16.06171400000025,-16.04152,0.16,-16.80580400000026,-13.124979999999999,0.26,-15.505880000000273,-15.605519999999997,0.16,-15.609758000000244,-18.761339999999997,0.06,-15.94965000000025,-19.200739999999993,0.04,-15.019108000003904,-18.441,0.08,-15.421628000000227,-18.321659999999998,0.08,-15.657684000000263,-17.043879999999998,0.12,-16.141662000000252,-16.120859999999993,0.14,-16.085792000000275,-16.56248,0.14,-16.549762000000253,-18.361359999999994,0.08,-15.565602000000226
36,-16.925039999999996,0.12,-16.06171400000025,-16.081679999999995,0.14,-16.80580400000026,-16.004780000000004,0.14,-15.505880000000273,-15.004979999999998,0.2,-15.609758000000244,-16.681439999999995,0.14,-15.94965000000025,-18.760959999999997,0.06,-15.019108000003904,-17.521119999999996,0.1,-15.421628000000227,-15.922379999999999,0.16,-15.657684000000263,-16.80388,0.14,-16.141662000000252,-16.521759999999997,0.12,-16.085792000000275,-14.442759999999996,0.22,-16.549762000000253,-16.36122,0.16,-15.565602000000226
37,-13.40494,0.26,-16.06171400000025,-16.52178,0.14,-16.80580400000026,-18.323659999999997,0.08,-15.505880000000273,-14.72298,0.2,-15.609758000000244,-16.441499999999998,0.14,-15.94965000000025,-16.480979999999995,0.14,-15.019108000003904,-17.241119999999995,0.1,-15.421628000000227,-15.962979999999991,0.16,-15.657684000000263,-16.164519999999996,0.16,-16.141662000000252,-17.76241999999999,0.1,-16.085792000000275,-16.9626,0.12,-16.549762000000253,-17.761,0.1,-15.565602000000226
38,-14.367899999999995,0.24,-16.06171400000025,-15.881799999999998,0.18,-16.80580400000026,-17.04456,0.12,-15.505880000000273,-14.724119999999996,0.22,-15.609758000000244,-15.841579999999999,0.16,-15.94965000000025,-19.000699999999995,0.06,-15.019108000003904,-17.880879999999994,0.1,-15.421628000000227,-17.48182,0.12,-15.657684000000263,-17.0844,0.12,-16.141662000000252,-15.962219999999995,0.14,-16.085792000000275,-18.043260000000004,0.08,-16.549762000000253,-17.521319999999992,0.1,-15.565602000000226
39,-15.484659999999995,0.2,-16.06171400000025,-14.922099999999999,0.22,-16.80580400000026,-15.164719999999997,0.2,-15.505880000000273,-18.643919999999998,0.06,-15.609758000000244,-16.682479999999998,0.12,-15.94965000000025,-16.041099999999997,0.14,-15.019108000003904,-19.960879999999992,0.02,-15.421628000000227,-16.242439999999995,0.14,-15.657684000000263,-17.04428,0.12,-16.141662000000252,-18.483219999999996,0.06,-16.085792000000275,-17.52216,0.1,-16.549762000000253,-19.361119999999996,0.04,-15.565602000000226
40,-17.810760000000002,0.1,-16.06171400000025,-16.04128,0.16,-16.80580400000026,-15.5248,0.16,-15.505880000000273,-15.36544,0.2,-15.609758000000244,-15.881539999999994,0.16,-15.94965000000025,-19.36095999999999,0.04,-15.019108000003904,-17.560859999999995,0.1,-15.421628000000227,-17.042299999999997,0.14,-15.657684000000263,-15.644680000000003,0.16,-16.141662000000252,-18.483619999999995,0.06,-16.085792000000275,-15.844059999999997,0.16,-16.549762000000253,-19.401019999999995,0.04,-15.565602000000226
41,-14.605600000000003,0.2,-16.06171400000025,-16.561879999999995,0.14,-16.80580400000026,-17.44564,0.12,-15.505880000000273,-17.484379999999998,0.12,-15.609758000000244,-15.642639999999995,0.16,-15.94965000000025,-18.400979999999993,0.08,-15.019108000003904,-16.080839999999995,0.16,-15.421628000000227,-16.442499999999995,0.16,-15.657684000000263,-17.723979999999997,0.1,-16.141662000000252,-15.642199999999995,0.16,-16.085792000000275,-17.96296,0.1,-16.549762000000253,-18.681739999999998,0.06,-15.565602000000226
42,-13.205559999999998,0.24,-16.06171400000025,-15.122039999999995,0.2,-16.80580400000026,-15.724459999999999,0.16,-15.505880000000273,-16.24342,0.14,-15.609758000000244,-13.201939999999995,0.26,-15.94965000000025,-18.720599999999994,0.06,-15.019108000003904,-18.161259999999995,0.08,-15.421628000000227,-16.682759999999995,0.14,-15.657684000000263,-15.3638,0.16,-16.141662000000252,-17.92364,0.08,-16.085792000000275,-17.403859999999998,0.12,-16.549762000000253,-17.562159999999995,0.12,-15.565602000000226
43,-15.843099999999998,0.18,-16.06171400000025,-16.24198,0.16,-16.80580400000026,-18.20414,0.08,-15.505880000000273,-14.087839999999998,0.26,-15.609758000000244,-15.483939999999995,0.16,-15.94965000000025,-19.240719999999992,0.04,-15.019108000003904,-17.841139999999996,0.08,-15.421628000000227,-16.00359999999999,0.16,-15.657684000000263,-14.444319999999998,0.22,-16.141662000000252,-15.644700000000002,0.18,-16.085792000000275,-15.445239999999998,0.18,-16.549762000000253,-18.88266,0.06,-15.565602000000226
44,-14.96604,0.22,-16.06171400000025,-14.281719999999996,0.22,-16.80580400000026,-17.3643,0.12,-15.505880000000273,-16.927319999999998,0.12,-15.609758000000244,-17.203400000000002,0.1,-15.94965000000025,-19.681039999999996,0.02,-15.019108000003904,-17.56126,0.1,-15.421628000000227,-16.803079999999998,0.12,-15.657684000000263,-15.884219999999997,0.18,-16.141662000000252,-14.681739999999998,0.2,-16.085792000000275,-16.562959999999997,0.14,-16.549762000000253,-16.643,0.14,-15.565602000000226
45,-14.96376,0.2,-16.06171400000025,-16.441779999999998,0.14,-16.80580400000026,-19.085159999999995,0.06,-15.505880000000273,-16.763379999999994,0.16,-15.609758000000244,-15.9248,0.16,-15.94965000000025,-19.000939999999996,0.06,-15.019108000003904,-17.760959999999994,0.1,-15.421628000000227,-17.64494,0.1,-15.657684000000263,-17.044059999999998,0.12,-16.141662000000252,-15.403659999999995,0.18,-16.085792000000275,-15.9649,0.16,-16.549762000000253,-18.28314,0.08,-15.565602000000226
